,O,Location,Person,MilitaryPlatform,Organisation,Weapon,Temporal,Money
effort,13.0,,,,,,,
put,12.0,,,,,,,
position,6.0,,,,,,,
peace,16.0,,,,,,,
talks,3.0,,,,,,,
eventually,5.0,,,,,,,
begin.,1.0,,,,,,,
clock,1.0,,,,,,,
ticking.,1.0,,,,,,,
rainy,1.0,,,,,,,
season,2.0,,,,,,,
arrive,2.0,,,,,,,
turning,6.0,,,,,,,
roads,1.0,,,,,,,
mud,1.0,,,,,,,
hindering,1.0,,,,,,,
Beyond,1.0,,,,,,,
lies,4.0,,,,,,,
uncertainty,1.0,,,,,,,
presidential,4.0,,,,,,,
elections,5.0,,,,,,1.0,
Republican,11.0,,2.0,,3.0,,,
victory,5.0,,,,,,,
support,75.0,,,1.0,,,,
slashed.,1.0,,,,,,,
President,1.0,,15.0,,,,,
knows,3.0,,,,,,,
tough,5.0,,,,,,,
until,7.0,,,,,,1.0,
then.,2.0,,,,,,,
succeed,1.0,,,,,,,
cyber-operators,1.0,,,,,,,
duelling,1.0,,,,,,,
close-up,1.0,,,,,,,
counterparts,4.0,,,,,,,
kind,14.0,,,,,,,
high-tech,1.0,,,,,,,
battle.,1.0,,,,,,,
people,43.0,,,,2.0,,,
directly,8.0,,,,,,,
involved,4.0,,,,,,,
head,7.0,,,,,,,
Security,8.0,,,,11.0,,,
Service,3.0,,,1.0,1.0,,,
cyber,14.0,,,,2.0,1.0,,
department,6.0,,,,5.0,,,
Speaking,2.0,,,,,,,
protected,4.0,,,,,,,
explains,6.0,,,,,,,
mix,2.0,,,,,,,
hackers,6.0,,,,,,,
special,1.0,,,1.0,,,,
systems,17.0,,,1.0,,1.0,,
working,29.0,,,,,,,
alongside,14.0,,,,,,,
snipers,1.0,,,,,,,
deploying,1.0,,,,,,,
technologies,3.0,,,,,,,
uses,1.0,,,,,,,
Artificial,1.0,,,,,,,
Intelligence,1.0,,,,,,,
AI,4.0,,,,,,,
visual,1.0,,,,,,,
recognition,1.0,,,,,,,
analyse,1.0,,,,,,,
information,8.0,,,,,,,
gathered,3.0,,,,,,,
intelligence,8.0,,,,1.0,,,
human,10.0,,,,,,,
sources,6.0,,,,,,,
satellites,1.0,,,,,,,
technical,2.0,,,,,,,
provide,21.0,,,,,,,
targets,11.0,,,,,,,
military.,1.0,,,,1.0,,,
type,4.0,,,,,,,
hack,1.0,,,,,,,
surveillance,3.0,,,,,,,
cameras,1.0,,,1.0,,,,
occupied,4.0,1.0,,,,,,
watch,6.0,,,,,,,
movements.,2.0,,,,,,,
And,56.0,,,,,,,
spying,1.0,,,,,,,
requires,2.0,,,,,,,
undercover,1.0,,,,,,,
act,7.0,,,,,,,
leading,12.0,,,,,,,
edge,1.0,,,,,,,
innovation,8.0,,,,,,,
conflict,17.0,,,,,,,
[,4.0,,,,1.0,,,
],4.0,,,,1.0,,,
use.,1.0,,,,,,,
Head,1.0,,,,,,,
cyber-team,2.0,,,,,,,
flies,1.0,,,,,,,
plays,4.0,,,,,,,
cat,1.0,,,,,,,
mouse,1.0,,,,,,,
disrupt,6.0,,,,,,,
those,36.0,,,,,,,
belonging,2.0,,,,,,,
deploys,2.0,,,,,,,
sensors,5.0,,,,,,,
detect,4.0,,,,,,,
operators,4.0,,,,,,,
jam,1.0,,,,,,,
sending,3.0,,,,,,,
commands,3.0,,,,,,,
land.,2.0,,,,,,,
All,7.0,,,,,,,
frequently,3.0,,,,,,,
done,8.0,,,,,,,
quarters.,1.0,,,,,,,
carries,4.0,,,,,,,
risk,10.0,,,,,,,
members.,2.0,,,,,,,
protect,13.0,,,,,,,
outside,5.0,,,,,,,
capital,1.0,1.0,,,,,,
learnt,2.0,,,,,,,
fly,6.0,,,,,,,
previous,6.0,,,,,,,
life,6.0,,,,,,,
high-end,1.0,,,,,,,
travel,4.0,,,,,,,
guide,1.0,,,,,,,
lesson,1.0,,,,,,,
stay,6.0,,,,,,,
alive,3.0,,,,,,,
avoiding,1.0,,,,,,,
detected.,1.0,,,,,,,
stages,1.0,,,,,,,
flown,2.0,,,,,,,
six,9.0,,,,,,,
front.,5.0,,,,,,,
closer,4.0,,,,,,,
overcome,3.0,,,,,,,
jamming,1.0,,,,,1.0,,
distance,1.0,,,,,,,
shorter,1.0,,,,,,,
right,19.0,,,,,,,
watching,2.0,,,,,,,
overhead.,1.0,,,,,,,
Our,5.0,,,,,,,
connection,3.0,,,,,,,
stronger,4.0,,,,,,,
R,1.0,,,,,,,
operator,1.0,,,,,,,
company,5.0,,,,2.0,,,
teaches,1.0,,,,,,,
caughtRussian,1.0,,,,,,,
services,9.0,,,,4.0,,,
cyber-teams,1.0,,,,,,,
according,12.0,,,,,,,
communicate,8.0,,,,,,,
access,3.0,,,,,,,
captured,3.0,,,,,,,
communications.,1.0,,,,,,,
A,26.0,,1.0,2.0,,,,
gather,3.0,,,,,,,
tactical,5.0,,,,,,,
realise,3.0,,,,,,,
hands,2.0,,,,,,,
cyber-conflict,2.0,,,,,,,
tightly,1.0,,,,,,,
bound,2.0,,,,,,,
operations,45.0,3.0,,,,,,
earlier,9.0,,,,,,,
tried,2.0,,,,,,,
public,9.0,,,,,,,
panic,1.0,,,,,,,
websites,1.0,,,,,,,
offline,1.0,,,,,,,
definitely,3.0,,,,,,,
psychological,1.0,,,,,,,
operation,2.0,,,,,,,
recover,1.0,,,,,,,
hours,7.0,,,,,,,
wave,1.0,,,,,,,
cyber-attacks,6.0,,,,,,,
began.,2.0,,,,,,,
took,11.0,,,,,,,
satellite,2.0,,,,,,,
provider,3.0,,,,,,,
communications,6.0,,,,,,,
plans,6.0,,,,,,,
dashed,1.0,,,,,,,
atrocities,2.0,,,,,,,
emerged,4.0,,,,,,,
importance,7.0,,,,,,,
controlling,2.0,,,,,,,
flow,9.0,,,,,,,
increased.,1.0,,,,,,,
1,1.0,,,,,,3.0,2.0
combined,16.0,,,,,1.0,,
strike,14.0,,,,,4.0,,
TV,5.0,,,,,,,
tower,4.0,,,,,,,
deprive,1.0,,,,,,,
truthful,1.0,,,,,,,
state,9.0,1.0,,,1.0,,,
service,14.0,,,,1.0,,,
protects,2.0,,,,,,,
standing,2.0,,,,,,,
black,1.0,,,,,,,
scars,1.0,,,,,,,
evident.,1.0,,,,,,,
Engineers,1.0,,,,,,,
scoured,1.0,,,,,,,
replacement,1.0,,,,,,,
broadcasting,1.0,,,,,,,
restored.,1.0,,,,,,,
struck,3.0,,,,,,,
data,5.0,,,,,,,
centre,5.0,,,,,,,
location,3.0,,,,,,,
remote,1.0,,,,,,,
servers,1.0,,,,,,,
technology,8.0,,,,1.0,,,
companies,4.0,,,,1.0,,,
fact,5.0,,,,,,,
withstand,3.0,,,,,,,
achievement,1.0,,,,,,,
both,30.0,,,,1.0,,,
specialists,1.0,,,,,,,
built,7.0,,,,,,,
thanks,6.0,,,,,,,
partners,31.0,,,,1.0,,,
tech,1.0,,,,1.0,,,
workers,3.0,,,,,,,
aided,1.0,,,,,,,
effort.,1.0,,,,,,,
cramped,1.0,,,,,,,
office,5.0,1.0,,,,,,
young,2.0,,,,,,,
volunteers,5.0,,,,,,,
explain,2.0,,,,,,,
called,12.0,,,,,,,
Griselda,1.0,,,,,,,
scrapes,1.0,,,,,,,
up-to-date,1.0,,,,,,,
situational,1.0,,,,,,,
intelligence.,1.0,,,,,,,
helps,3.0,,,,,,,
answer,1.0,,,,,,,
questions,5.0,,,,,,,
everything,7.0,,,,,,,
might,11.0,,,,,,,
repairing,1.0,,,,,,,
accompanied,2.0,,,,,,,
cyber-attacks.,1.0,,,,,,,
tandem.,1.0,,,,,,,
cyber-onslaught,1.0,,,,,,,
remains,15.0,,,,,,,
relentless,2.0,,,,,,,
oversees,2.0,,,,,,,
cyber-defence,1.0,,,,,,,
gives,3.0,,,,,,,
tour,2.0,,,,,,,
incident,11.0,,,,,,,
response,6.0,,,5.0,,,,
facility,2.0,,,,,,,
runs,4.0,,,,,,,
/,9.0,,4.0,,7.0,,,
7.,1.0,,,,,,,
heart,3.0,,,,,,,
cyber-protection,1.0,,,,,,,
beats,1.0,,,,,,,
says.,7.0,,,,,,,
busy.,1.0,,,,,,,
screen,1.0,,,,,,,
wall,1.0,,,,,,,
peaks,1.0,,,,,,,
troughs,1.0,,,,,,,
war.,2.0,,,,,,,
target.,1.0,,,,,,,
While,6.0,,,,,,,
staffers,1.0,,,,,,,
dealing,1.0,,,,,,,
National,1.0,,3.0,,14.0,,,
delays,1.0,,,,,,,
release,2.0,,,,,,,
inflation,1.0,,,,,,,
figures.,2.0,,,,,,,
BBCThis,1.0,,,,,,,
protection,5.0,,,1.0,,,,
beats.,1.0,,,,,,,
offVictor,1.0,,,,,,,
ZhoraOversees,1.0,,,,,,,
cyber-defenceAt,1.0,,,,,,,
works,5.0,,,,,,,
spy,1.0,,,,,,,
penetrate,1.0,,,,,,,
computer,1.0,,,,,,,
listen,1.0,,,,,,,
phone,7.0,,,,,,,
debunked,1.0,,,,,,,
myth,1.0,,,,,,,
mighty,1.0,,,,,,,
comparing,1.0,,,,,,,
struggle,1.0,,,,,,,
closely,8.0,,,,,,,
matched,1.0,,,,,,,
fighters,2.0,,,2.0,,,,
slugging,1.0,,,,,,,
ring.,1.0,,,,,,,
calls.,1.0,,,,,,,
argues,1.0,,,,,,,
digesting,1.0,,,,,,,
throwing,1.0,,,,,,,
cyber-expertise,1.0,,,,,,,
leaves,1.0,,,,,,,
little,7.0,,,,,,,
capacity,7.0,,,,,,,
targets.,1.0,,,,,,,
falls,1.0,,,,,,,
warns,3.0,,,,,,,
directed,2.0,,,,,,,
battling,1.0,,,,,,,
adversary,3.0,,,,,,,
allies,23.0,,,,5.0,,,
learning,2.0,,,,,,,
ways,9.0,,,,,,,
integrated,13.0,,,,,,,
claim,2.0,,,,,,,
summer,2.0,,,,,,,
poised,1.0,,,,,,,
pace,2.0,,,,,,,
finally,2.0,,,,,,,
Yes,24.0,,,,,,,
true,2.0,,,,,,,
advisor,7.0,,,,,,,
minister,3.0,,5.0,,,,,
asked,3.0,,,,,,,
happened.,1.0,,,,,,,
Little,1.0,,,,,,,
gaining,3.0,,,,,,,
momentum,1.0,,,,,,,
between,33.0,,,,,,,
second,11.0,,,,,,,
told,32.0,,,,,,,
Observer,2.0,,,,1.0,,,
words,4.0,,,,,,,
echoed,1.0,,,,,,,
House,2.0,1.0,3.0,,13.0,,,
spokesman,3.0,,,,,,,
reporters,4.0,,,,,,,
achieved,2.0,,,,,,,
focus,12.0,,,,,,,
recent,18.0,,,,,,,
expanding,5.0,,,,,,,
bridgehead,2.0,,,,,,,
raised,4.0,,,,,,,
blue,1.0,,,,,,,
yellow,1.0,,,,,,,
flag,2.0,,,,,,,
allow,10.0,,,,,,,
units,9.0,,,2.0,,1.0,,
pass,5.0,,,,,,,
without,13.0,,,,,,,
glance,2.0,,,,,,,
mass,2.0,,,,,1.0,,
overlapping,1.0,,,,,,,
complex,4.0,,,,,,,
complete,2.0,,,,,,,
Some,7.0,,,,,,,
converge,1.0,,,,,,,
Without,2.0,,,,,,,
cover,3.0,,,,,,,
withering,1.0,,,,,,,
hazards,3.0,,,,,,,
assault.,1.0,,,,,,,
openings,1.0,,,,,,,
appear,2.0,,,,,,,
makes,4.0,,,,,,,
easier,4.0,,,,,,,
fog,2.0,,,,,,,
warIt,1.0,,,,,,,
assess,4.0,,,,,,,
significance,3.0,,,,,,,
claims.,1.0,,,,,,,
officials,6.0,,1.0,,10.0,,,
extremely,4.0,,,,,,,
tight-lipped,1.0,,,,,,,
precise,2.0,,,,,,,
details,4.0,,,,,,,
preferring,1.0,,,,,,,
shroud,1.0,,,,,,,
intentions,1.0,,,,,,,
reluctant,1.0,,,,,,,
releasing,1.0,,,,,,,
sensitive,2.0,,,,,,,
information.,1.0,,,,,,,
does,19.0,,,,,,,
closest,1.0,,,,,,,
give,7.0,,,,,,,
different,6.0,,,,,,,
accounts,1.0,,,,,,,
happening,2.0,,,,,,,
Approached,1.0,,,,,,,
Air,2.0,4.0,3.0,7.0,24.0,,,
continuing,5.0,,,,,,,
less,6.0,,,,,,,
surprising,1.0,,,,,,,
sounds.,1.0,,,,,,,
plethora,1.0,,,,,,,
concentrating,1.0,,,,,,,
narrow,1.0,,,,,,,
section,2.0,,,,,,,
specific,6.0,,,,,,,
tasks.,1.0,,,,,,,
necessarily,1.0,,,,,,,
elsewhere.,1.0,,,,,,,
source,6.0,,,,,,,
ReutersImage,1.0,,,,,,,
serviceman,2.0,,,,,,,
looks,4.0,,,,,,,
RobotyneOne,1.0,,,,,,,
volunteer,2.0,,,1.0,,,,
call,12.0,,,,,,,
agency,2.0,,,,4.0,,,
men,7.0,,,,,,,
26,1.0,,,,,,1.0,
On,13.0,,,,,,1.0,
Sunday,5.0,,,,1.0,,,
us,35.0,,,,,,,
pushing,3.0,,,,,,,
Literally,1.0,,,,,,,
sea,8.0,2.0,,,,,,
voice,1.0,,,,,,,
message,2.0,,,,,,,
giving,3.0,,,,,,,
want,12.0,,,,,,,
rush,1.0,,,,,,,
ahead,9.0,,,,,,,
General,1.0,,13.0,,3.0,,,
fastest,1.0,,,,,,,
Hard,1.0,,,,,,,
gauge,1.0,,,,,,,
nature,8.0,,,,,,,
alarmed,1.0,,,,,,,
recently,9.0,,,,,,,
sent,9.0,,,,,,,
bolster,4.0,,,,,,,
railway,4.0,2.0,,,,,,
hub,2.0,,,,,,,
21km,1.0,,,,,,,
According,5.0,,,,,,,
third,8.0,,,,,,,
lateral,1.0,,,,,,,
deployment,9.0,,,,1.0,1.0,,
span,1.0,,,,,,,
suggests,1.0,,,,,,,
increasing,5.0,,,,,,,
concern,3.0,,,,,,,
stability,23.0,,,,,,,
reported,3.0,,,,,,,
assessment,3.0,,,,,,,
forcing,2.0,,,,,,,
wear,2.0,,,,,,,
involve,1.0,,,,,,,
reserves,1.0,,,,,,,
exhaust,1.0,,,,,,,
Cooperation,5.0,,,,2.0,,,
ties,4.0,,,,,,,
exploit,2.0,,,,,,,
weakness,1.0,,,,,,,
thing,8.0,,,,,,,
wo,3.0,,,,,,,
orders,1.0,,,,,,,
deeper,1.0,,,,,,,
apparently,3.0,,,,,,,
glacial,1.0,,,,,,,
fundamental,2.0,,,,,,,
objective,4.0,,,,,,,
winter,3.0,,,,,,,
arrives,1.0,,,,,,,
open,10.0,,,,,,,
question,10.0,,,,,,,
Ideally,1.0,,,,,,,
reached,2.0,,,,,,,
cutting,1.0,,,,,,,
bridge,1.0,,,,,,,
happen,6.0,,,,,,,
determined,3.0,,,,,,,
presence,8.0,,,,,,,
links,6.0,,,,,,,
passes,1.0,,,,,,,
multiple,15.0,,,,,1.0,,
With,7.0,,,,,,,
link,2.0,,,,,,,
repeated,2.0,,,,,,,
transporting,1.0,,,,,,,
70,2.0,,,,,,,
supplies,1.0,,,,,,,
route…,1.0,,,,,,,
meaning,1.0,,,,,,,
guns,2.0,,,,,,,
distant,1.0,,,,,,,
goal.,1.0,,,,,,,
80km,1.0,,,,,,,
away.,4.0,,,,,,,
every,8.0,,,,,,1.0,
step,9.0,,,,,,,
Another,8.0,,,,,,,
encounter,1.0,,,,,,,
well-entrenched,1.0,,,,,,,
among,19.0,,,,,,,
hardest,1.0,,,,,,,
phases.,1.0,,,,,,,
represents,1.0,,,,,,,
point.,3.0,,,,,,,
Tough,1.0,,,,,,,
battles,2.0,,,,,,1.0,
expected,1.0,,,,,,,
fronts.,1.0,,,,,,,
won,5.0,,,,,,,
too,13.0,,,,,,,
diplomatic,4.0,,,,,,,
gains.,1.0,,,,,,,
remained,3.0,,,,,,,
largely,8.0,,,,,,,
strong.,2.0,,,,,,,
cracks,1.0,,,,,,,
beginning,4.0,,,,,,,
form,6.0,,,,,,,
States,3.0,23.0,,,4.0,,,
greatest,1.0,,,,,,,
supporter,2.0,,,,,,,
allocating,1.0,,,,,,,
support.,5.0,,,,,,,
Yet,1.0,,,,,,,
weekend,3.0,,,,,,,
ditched,1.0,,,,,,,
bitter,2.0,,,,,,,
internal,5.0,,,,,,,
fund,2.0,,,,,,,
federal,1.0,,,,2.0,,,
Republicans,10.0,,,,,,,
should,9.0,,,,,,,
curbed,1.0,,,,,,,
spends,1.0,,,,,,,
security.,2.0,,,,1.0,,,
promised,3.0,,,,,,,
soon,3.0,,,,,,1.0,
politics.,1.0,,,,,,,
side,6.0,,,,,,,
ally,9.0,,,,,,,
Smer,1.0,,,,,,,
party,11.0,,,,2.0,,,
win,2.0,,,,,,,
seats,3.0,,,,,,,
although,5.0,,,,,,,
coalition.,1.0,,,,,,,
populist,4.0,,,,,,,
former,7.0,,2.0,,,,,
prime,2.0,,,,,,,
widely,2.0,,,,,,,
campaigned,2.0,,,,,,,
promise,1.0,,,,,,,
People,4.0,,,,1.0,,,
bigger,2.0,,,,,,,
said.,27.0,,,,,,,
means,6.0,,,,,,,
European,7.0,1.0,,,14.0,,,
countries,22.0,1.0,,,1.0,,,
ready,9.0,,,,,,,
veto,1.0,,,,,,,
collective,5.0,,,,,,,
action,16.0,,,,,,,
Neighbouring,1.0,,,,,,,
doubts,1.0,,,,,,,
supporting,19.0,,,,,,,
aired.,1.0,,,,,,,
ruling,1.0,,,,,,,
Law,2.0,,,,1.0,,,
Justice,1.0,,,,2.0,,,
Party,1.0,,,,5.0,,,
halt,1.0,,,,,,,
import,1.0,,,,,,,
cheap,1.0,,,,,,,
Polish,3.0,,,,2.0,,,
farmers,2.0,,,,,,,
oppose.,1.0,,,,,,,
described,4.0,,,,,,,
drowning,1.0,,,,,,,
man,5.0,,,,,,,
dragging,1.0,,,,,,,
rescuers.,1.0,,,,,,,
transferring,1.0,,,,,,,
reversed.,1.0,,,,,,,
electoral,3.0,,,,,,,
politics,4.0,,,,,,,
bite,1.0,,,,,,,
issues,8.0,,,,,,,
whether,7.0,,,,,,,
global,27.0,,,,,,,
cost-of-living,1.0,,,,,,,
crisis,12.0,,,,,,,
climate,8.0,,,,,,,
emergency.,1.0,,,,,,,
noticeable,1.0,,,,,,,
automatically,1.0,,,,,,,
agenda.,1.0,,,,,,,
in-person,3.0,,,,,,,
speeches,1.0,,,,,,,
assembly,3.0,,,,,,,
Council,1.0,,,,6.0,,,
did,27.0,,,,,,,
command,17.0,,,,2.0,,,
attention,4.0,,,,,,,
before.,1.0,,,,,,,
Diplomats,3.0,,,,,,,
noticed,1.0,,,,,,,
sheen,1.0,,,,,,,
come,22.0,,,,,,,
delegation,1.0,,,,1.0,,,
leaders,15.0,,,,4.0,,,
Global,1.0,,,,3.0,,,
South,1.0,4.0,,,3.0,,,
pressed,1.0,,,,,,,
agendas.,1.0,,,,,,,
strategists,1.0,,,,,,,
for.,1.0,,,,,,,
believe,6.0,,,,,,,
wants,1.0,,,,,,,
wait,3.0,,,,,,,
West,1.0,1.0,,,4.0,,,
keeping,3.0,,,,,,,
begins,1.0,,,,,,,
international,43.0,1.0,,,1.0,,,
seeks,3.0,,,,,,,
political,13.0,,,,1.0,,,
settlement.,1.0,,,,,,,
insist,1.0,,,,,,,
stamina,1.0,,,,,,,
strategic,13.0,1.0,,,,2.0,,
expects,1.0,,,,,,,
Not,5.0,,,,,,,
nothing,1.0,,,,,,,
tell,6.0,,,,,,,
fatigue,1.0,,,,,,,
something,13.0,,,,,,,
acknowledging,1.0,,,,,,,
putting,2.0,,,,,,,
pressure,1.0,,,,,,,
counter-argument,2.0,,,,,,,
diminished,1.0,,,,,,,
pressures,2.0,,,,,,,
worse,2.0,,,,,,,
painful.,1.0,,,,,,,
painful,1.0,,,,,,,
falter.,1.0,,,,,,,
impression,1.0,,,,,,,
foreign,6.0,,3.0,,1.0,,,
visited,4.0,,,,,,,
Monday,3.0,,,,,,1.0,
meeting,11.0,,,,,,,
collectively,2.0,,,,,,,
demonstration,4.0,,,,,,,
policy,7.0,,,,,,,
chief,6.0,,,,1.0,,,
backing,1.0,,,,,,,
worth,11.0,,,,,,,
One,11.0,,,,,,,
Europeans,3.0,,,,,,,
existential,3.0,,,,,,,
react,2.0,,,,,,,
admitted,2.0,,,,,,,
worried,3.0,,,,,,,
decision,17.0,,,,,,,
aid,19.0,,,1.0,,,,
diplomats,2.0,,,,,,,
fate,1.0,,,,,,,
hangs,1.0,,,,,,,
balance,4.0,,,,,,,
battlefield.,2.0,,,,,,,
warm,1.0,,,,,,,
argument.,1.0,,,,,,,
Before,2.0,,,,,,,
dismissed,2.0,,,,,,,
regional,38.0,1.0,,,4.0,,,
withdrawal,1.0,,,,,,,
initiative,2.0,,,,,,,
silos,1.0,,,,,,,
argue,3.0,,,,,,,
stake,3.0,,,,,,,
fight.,1.0,,,,,,,
predictability,1.0,,,,,,,
playing,1.0,,,,,,,
game.,1.0,,,,,,,
Key,1.0,,,,,,,
figures,2.0,,,,,,,
anticipated,2.0,,,,,,,
soften,1.0,,,,,,,
time.,4.0,,,,,,,
vagaries,1.0,,,,,,,
transatlantic,3.0,,,,,,,
cycles.,1.0,,,,,,,
test,9.0,,,3.0,,,,
unity,2.0,,,,,,,
moments.,1.0,,,,,,,
First,3.0,,,,,,,
re-elected,2.0,,,,,,,
curbs,1.0,,,,,,,
fighting.,1.0,,,,,,,
unite,1.0,,,,,,,
compromises,1.0,,,,,,,
settlement,1.0,,,,,,,
underground,7.0,,,,,,,
school,5.0,,,,,,,
Such,2.0,,,,,,,
shelter,1.0,,,,,,,
thousands,9.0,,,,,,,
children,4.0,,1.0,,,,,
education,2.0,,,,,,,
during,41.0,,,,,,,
threats,21.0,,,,,2.0,,
again,29.0,,,,,,,
regular,4.0,,,,,,,
occurrence,1.0,,,,,,,
360,1.0,,,,,,,
educational,2.0,,,,,,,
facilities,6.0,2.0,,,,,,
"3,000",1.0,,,,,,,
damaged,5.0,,,,,,,
Many,4.0,,,,,,,
pupils,3.0,,,,,,,
forced,2.0,,,,,,,
attend,2.0,,,,,,,
classes,1.0,,,,,,,
metro,1.0,,,,,,,
stations,2.0,,,,,,,
makeshift,1.0,,,,,,,
shelters,1.0,,,,,,,
proper,1.0,,,,,,,
heating,1.0,,,,,,,
Last,5.0,,,,,,,
schools,1.0,,,,,,,
27-member,1.0,,,,,,,
bloc,1.0,,,,,,,
struggling,2.0,,,,,,,
integrate,2.0,,,,,,,
fled,1.0,,,,,,,
1.3,1.0,,,,,,,
million,11.0,,,,,,,10.0
post,10.0,,,,,,,
announced,7.0,,,,,,,
here,17.0,,,,,,,
build,8.0,,,,,,,
meet,9.0,,,,,,,
requirements,5.0,,,,,,,
buildings,6.0,1.0,,,,,,
stressed,1.0,,,,,,,
authorities,5.0,,,,1.0,,,
reduce,7.0,,,,,,,
expenditure,1.0,,,,,,,
single,2.0,,,2.0,,,,1.0
hryvnia,1.0,,,,,,,1.0
currency,1.0,,,,,,,
despite,5.0,,,,,,,
lack,5.0,,,,,,,
budget,4.0,,,,,,,
funds,4.0,,,,,,,
gave,5.0,,,,,,,
study,3.0,,,,,,,
"1,000",1.0,,,,,,,
turned,6.0,,,,,,,
metro-schools,1.0,,,,,,,
students,1.0,,,,,,,
ferried,1.0,,,,,,,
buses,1.0,,,,,,,
shifts,1.0,,,,,,,
starts,2.0,,,,,,,
local,13.0,,,,,,2.0,
followed,5.0,,,,,,,
Police,1.0,,,,2.0,,,
rescuers,1.0,,,,,,,
duty,2.0,,,,,,,
station,3.0,2.0,,,,,,
Lessons,1.0,,,,,,,
metro.,1.0,,,,,,,
Could,2.0,,,,,,,
ever,7.0,,,,,,,
imagine,3.0,,,,,,,
second-largest,1.0,,,,,,,
located,5.0,,,,,,,
30km,1.0,,,,,,,
19,2.0,,,,,,1.0,
bombed,1.0,,,,,,,
Local,1.0,,,,,,,
residents,5.0,,,,,,,
witnessed,3.0,,,,,,,
fierce,1.0,,,,,,,
street,6.0,,,,,,,
attempted,4.0,,,,,,,
capture,2.0,,,,,,,
pushed,2.0,,,,,,,
lightning,1.0,,,,,,,
autumn,2.0,,,,,,,
Open-ended,1.0,,,,,,,
leave,9.0,,,,,,,
casualty,1.0,,,,,,,
rate,3.0,,,,,,,
Standing,1.0,,,,,,,
flattened,1.0,,,,,,,
officer,8.0,,,,,,,
active,2.0,,,,,,,
survival,2.0,,,,,,,
'm,14.0,,,,,,,
lucky,1.0,,,,,,,
man…,1.0,,,,,,,
either,3.0,,,,,,,
love,1.0,,,,,,,
wounds,1.0,,,,,,,
charmed,1.0,,,,,,,
life.,2.0,,,,,,,
history,10.0,,,,,,,
old,7.0,,,,,,,
army,4.0,,1.0,,4.0,,,
trebled,1.0,,,,,,,
nation,7.0,,,,3.0,,,
mobilised,2.0,,,,,,,
recognition.,1.0,,,,,,,
serves,2.0,,,,,,,
smokestack,1.0,,,,,,,
industries,1.0,,,,,,,
occupying,2.0,,,,,,,
went,4.0,,,,,,,
home,5.0,,,,1.0,,,
community,4.0,,,,3.0,,,
families,3.0,,,,,,,
live.,3.0,,,,,,,
asks,1.0,,,,,,,
nicknames,1.0,,,,,,,
usually,1.0,,,,,,,
120,2.0,,,,,,,
year.,5.0,,,,,,1.0,
me,17.0,,,,,,,
none,1.0,,,,,,,
15,5.0,,,,,,,
commanders,3.0,,,,4.0,,,
promoted,1.0,,,,,,,
become,6.0,,,,,,,
casualties.,1.0,,,,,,,
run-up,1.0,,,,,,,
"2,000",3.0,,,,,,,
rotating,1.0,,,,,,,
occasional,2.0,,,,,,,
tours,3.0,,,,,,,
duty.,2.0,,,,,,,
Although,3.0,,,,,,,
rarely,1.0,,,,,,,
discusses,1.0,,,,,,,
swelled,1.0,,,,,,,
"7,000",1.0,,,,,,,
total,3.0,,,,,,,
numerous,2.0,,,,,,,
elements,7.0,,,,,,,
mobilisation,1.0,,,,,,,
happened,6.0,,,,,,,
joined,6.0,,,,,,,
conscripts.,1.0,,,,,,,
twenty-something,1.0,,,,,,,
venture,2.0,,,,,,,
capitalist,1.0,,,,,,,
talented,1.0,,,,,,,
incomers.,1.0,,,,,,,
Initially,1.0,,,,,,,
transferred,2.0,,,,,,,
start-up,1.0,,,,,,,
company.,1.0,,,,,,,
Sitting,1.0,,,,,,,
table,1.0,,,,,,,
playground,1.0,,,,,,,
showed,2.0,,,,,,,
packages,3.0,,,,,,,
carry,3.0,,,,,,,
allowing,2.0,,,,,,,
explained,1.0,,,,,,,
mother,2.0,,,,,,,
sceptical,1.0,,,,,,,
joining,2.0,,,,,,,
guiding,1.0,,,,,,,
she,21.0,,,,,,,
her,20.0,,,,,,,
mind,1.0,,,,,,,
became,1.0,,,,,,,
proud,6.0,,,,,,,
Under,5.0,,,,,,,
terms,9.0,,,,,,,
contracts,3.0,,,,1.0,,,
common,5.0,,,,,,,
conscripts,1.0,,,,,,,
walk,3.0,,,,,,,
away,8.0,,,,,,,
obliged,1.0,,,,,,,
serve,5.0,,,,,,,
ends.,1.0,,,,,,,
meantime,2.0,,,,,,,
entitled,2.0,,,,,,,
unusual,1.0,,,,,,,
earns,1.0,,,,,,,
monthly,1.0,,,,,,,
80,1.0,,,,,,,1.0
pay,2.0,,,,,,,
earnings,1.0,,,,,,,
civilian,31.0,,,,,,,
Bearded,1.0,,,,,,,
banker,1.0,,,,,,,
flair,1.0,,,,,,,
selling,1.0,,,,,,,
business,7.0,,,,,,,
ingenious,1.0,,,,,,,
because,15.0,,,,,,,
enemy,4.0,,,,,,,
revealed,2.0,,,,,,,
ranks,1.0,,,,,,,
simple,1.0,,,,,,,
private,3.0,,,,,,,
basically,1.0,,,,,,,
unit.,1.0,,,,,,,
rethinking,1.0,,,,,,,
usual,1.0,,,,,,,
hierarchy,1.0,,,,,,,
differences,3.0,,,,,,,
set-up,1.0,,,,,,,
force,3.0,,,23.0,3.0,,,
fights,1.0,,,,,,,
Russians.,2.0,,,,,,,
willingness,2.0,,,,,,,
overlook,1.0,,,,,,,
age,2.0,,,,,,,
