,Correct,Incorrect,Count,Label
proper,100.0,0.0,1,O
heating,100.0,0.0,1,O
Last,100.0,0.0,5,O
EU 's Fundamental Rights Agency,100.0,0.0,1,Organisation
schools,100.0,0.0,1,O
27-member,100.0,0.0,1,O
bloc,100.0,0.0,1,O
struggling,100.0,0.0,2,O
integrate,100.0,0.0,2,O
fled,100.0,0.0,1,O
currently,100.0,0.0,2,O
1.3,100.0,0.0,1,O
million,100.0,0.0,11,O
Sunday 's,100.0,0.0,1,Organisation
the Kharkiv mayor,100.0,0.0,1,Person
here,100.0,0.0,14,O
build,100.0,0.0,8,O
Mr Terekhov,100.0,0.0,1,Person
meet,100.0,0.0,9,O
requirements,100.0,0.0,4,O
buildings,100.0,0.0,6,O
stressed,100.0,0.0,1,O
authorities,100.0,0.0,5,O
reduce,100.0,0.0,7,O
expenditure,100.0,0.0,1,O
single hryvnia,100.0,0.0,1,Money
],100.0,0.0,1,O
despite,100.0,0.0,5,O
lack,100.0,0.0,4,O
budget,100.0,0.0,4,O
funds,100.0,0.0,4,O
The mayor,100.0,0.0,1,Person
study,100.0,0.0,3,O
"1,000",100.0,0.0,1,O
turned,100.0,0.0,5,O
metro-schools,100.0,0.0,1,O
students,100.0,0.0,1,O
ferried,100.0,0.0,1,O
buses,100.0,0.0,1,O
shifts,100.0,0.0,1,O
starts,100.0,0.0,2,O
09:00 local time,100.0,0.0,1,Temporal
followed,100.0,0.0,5,O
late,100.0,0.0,3,O
13:00.,100.0,0.0,1,Temporal
rescuers,100.0,0.0,1,O
duty,100.0,0.0,2,O
station,100.0,0.0,3,O
Lessons,100.0,0.0,1,O
metro.,100.0,0.0,1,O
Could,100.0,0.0,2,O
ever,100.0,0.0,6,O
imagine,100.0,0.0,3,O
Ukrainian children,100.0,0.0,1,Person
Ukrainian Interior Minister Ihor Klymenko,100.0,0.0,1,Person
located,100.0,0.0,5,O
30km,100.0,0.0,1,O
19,100.0,0.0,2,O
Russian border,100.0,0.0,1,Location
bombed,100.0,0.0,1,O
Russian President Vladimir Putin 's,100.0,0.0,1,Person
February 2022,100.0,0.0,4,Temporal
Local,100.0,0.0,1,O
residents,100.0,0.0,5,O
witnessed,100.0,0.0,2,O
fierce,100.0,0.0,1,O
street,100.0,0.0,2,O
capture,100.0,0.0,2,O
pushed,100.0,0.0,2,O
lightning,100.0,0.0,1,O
autumn,100.0,0.0,2,O
Open-ended,100.0,0.0,1,O
leave,100.0,0.0,8,O
casualty,100.0,0.0,1,O
rate,100.0,0.0,3,O
Ukrainian soldiers,100.0,0.0,1,Organisation
BBC Newsnight,100.0,0.0,1,Organisation
Standing,100.0,0.0,1,O
flattened,100.0,0.0,1,O
Jimmy,100.0,0.0,3,Person
officer,100.0,0.0,8,O
active,100.0,0.0,2,O
survival,100.0,0.0,2,O
'm,100.0,0.0,14,O
lucky,100.0,0.0,1,O
man…,100.0,0.0,1,O
either,100.0,0.0,3,O
love,100.0,0.0,1,O
Jimmy 's,100.0,0.0,2,Person
wounds,100.0,0.0,1,O
charmed,100.0,0.0,1,O
life.,100.0,0.0,2,O
the 24th Mechanised Brigade,100.0,0.0,1,MilitaryPlatform
history,100.0,0.0,8,O
old,100.0,0.0,7,O
Ukrainian army,100.0,0.0,3,Organisation
2014.,100.0,0.0,1,Temporal
army,100.0,0.0,3,O
trebled,100.0,0.0,1,O
nation,100.0,0.0,7,O
mobilised,100.0,0.0,2,O
recognition.,100.0,0.0,1,O
in August,100.0,0.0,2,Temporal
the 24th,100.0,0.0,1,Temporal
serves,100.0,0.0,2,O
Donbas,100.0,0.0,2,Location
smokestack,100.0,0.0,1,O
industries,100.0,0.0,1,O
occupying,100.0,0.0,2,O
Horlivka.,100.0,0.0,1,Location
went,100.0,0.0,4,O
home,100.0,0.0,5,O
community,100.0,0.0,4,O
western Ukraine,100.0,0.0,1,Location
brigade,100.0,0.0,1,MilitaryPlatform
garrisoned,100.0,0.0,1,MilitaryPlatform
families,100.0,0.0,3,O
live.,100.0,0.0,3,O
nicknames,100.0,0.0,1,O
ones,100.0,0.0,2,O
usually,100.0,0.0,1,O
120,100.0,0.0,2,O
post,100.0,0.0,9,O
year.,100.0,0.0,5,O
me,100.0,0.0,17,O
none,100.0,0.0,1,O
15,100.0,0.0,5,O
commanders,100.0,0.0,2,O
promoted,100.0,0.0,1,O
become,100.0,0.0,6,O
casualties.,100.0,0.0,1,O
run-up,100.0,0.0,1,O
the 24th Brigade,100.0,0.0,5,MilitaryPlatform
"2,000",100.0,0.0,3,O
rotating,100.0,0.0,1,O
battalions,100.0,0.0,3,MilitaryPlatform
eastern Ukraine,100.0,0.0,2,Location
occasional,100.0,0.0,2,O
tours,100.0,0.0,3,O
duty.,100.0,0.0,2,O
Although,100.0,0.0,2,O
the Ukrainian army,100.0,0.0,1,Organisation
discusses,100.0,0.0,1,O
swelled,100.0,0.0,1,O
"7,000",100.0,0.0,1,O
total,100.0,0.0,3,O
infantry battalions,100.0,0.0,1,MilitaryPlatform
tank battalion,100.0,0.0,1,MilitaryPlatform
numerous,100.0,0.0,2,O
elements,100.0,0.0,6,O
mobilisation,100.0,0.0,1,O
happened,100.0,0.0,6,O
joined,100.0,0.0,4,O
conscripts.,100.0,0.0,1,O
Yurii,100.0,0.0,6,Person
twenty-something,100.0,0.0,1,O
venture,100.0,0.0,2,O
capitalist,100.0,0.0,1,O
talented,100.0,0.0,1,O
incomers.,100.0,0.0,1,O
Initially,100.0,0.0,1,O
rifle,100.0,0.0,1,Weapon
transferred,100.0,0.0,2,O
start-up,100.0,0.0,1,O
the 24th Brigade 's,100.0,0.0,1,MilitaryPlatform
Sitting,100.0,0.0,1,O
table,100.0,0.0,1,O
playground,100.0,0.0,1,O
showed,100.0,0.0,2,O
packages,100.0,0.0,3,O
explosive,100.0,0.0,5,Weapon
carry,100.0,0.0,3,O
allowing,100.0,0.0,2,O
vehicles,100.0,0.0,2,O
mother,100.0,0.0,2,O
sceptical,100.0,0.0,1,O
joining,100.0,0.0,2,O
guiding,100.0,0.0,1,O
she,100.0,0.0,21,O
her,100.0,0.0,20,O
mind,100.0,0.0,1,O
became,100.0,0.0,1,O
proud,100.0,0.0,6,O
Under,100.0,0.0,5,O
terms,100.0,0.0,9,O
contracts,100.0,0.0,3,O
common,100.0,0.0,5,O
conscripts,100.0,0.0,1,O
walk,100.0,0.0,3,O
away,100.0,0.0,7,O
obliged,100.0,0.0,1,O
serve,100.0,0.0,5,O
ends.,100.0,0.0,1,O
meantime,100.0,0.0,2,O
entitled,100.0,0.0,2,O
unusual,100.0,0.0,1,O
24th 's,100.0,0.0,1,MilitaryPlatform
"£2,600",100.0,0.0,1,Money
"$ 3,195",100.0,0.0,1,Money
earns,100.0,0.0,1,O
monthly,100.0,0.0,1,O
80,100.0,0.0,1,O
pay,100.0,0.0,2,O
earnings,100.0,0.0,1,O
civilian,100.0,0.0,30,O
Bearded,100.0,0.0,1,O
banker,100.0,0.0,1,O
flair,100.0,0.0,1,O
selling,100.0,0.0,1,O
business,100.0,0.0,7,O
ingenious,100.0,0.0,1,O
because,100.0,0.0,15,O
enemy,100.0,0.0,4,O
revealed,100.0,0.0,1,O
simple,100.0,0.0,1,O
private,100.0,0.0,3,O
soldier,100.0,0.0,5,MilitaryPlatform
basically,100.0,0.0,1,O
unit.,100.0,0.0,1,O
rethinking,100.0,0.0,1,O
usual,100.0,0.0,1,O
hierarchy,100.0,0.0,1,O
differences,100.0,0.0,3,O
pre-2022,100.0,0.0,1,Temporal
set-up,100.0,0.0,1,O
force,72.72727272727273,27.27272727272727,11,MilitaryPlatform
fights,100.0,0.0,1,O
Russians.,100.0,0.0,2,O
willingness,100.0,0.0,2,O
overlook,100.0,0.0,1,O
age,100.0,0.0,2,O
factors,100.0,0.0,1,O
counted,100.0,0.0,2,O
2022.,100.0,0.0,2,Temporal
met,100.0,0.0,5,O
sergeant,100.0,0.0,2,O
nicknamed,100.0,0.0,2,O
Hryb,100.0,0.0,3,Person
mushroom,100.0,0.0,1,O
older,100.0,0.0,2,O
52,100.0,0.0,4,O
exact,100.0,0.0,1,O
30,100.0,0.0,3,O
ago.,100.0,0.0,1,O
happens,100.0,0.0,2,O
the 24th Brigade 's 152mm Akatsiya,100.0,0.0,1,Weapon
Acacia,100.0,0.0,1,Weapon
howitzers,100.0,0.0,1,O
ancient,100.0,0.0,1,O
serving,100.0,0.0,1,O
the Soviet Army,100.0,0.0,1,MilitaryPlatform
East Germany,100.0,0.0,1,Location
1990s,100.0,0.0,1,Temporal
shells,100.0,0.0,2,Weapon
watched,100.0,0.0,1,O
firing,100.0,0.0,2,O
manufactured,100.0,0.0,2,O
40,100.0,0.0,4,O
crew,100.0,0.0,4,O
the howitzer Babushka,100.0,0.0,1,Weapon
Grandma.,100.0,0.0,1,O
Who,100.0,0.0,1,O
better,100.0,0.0,8,O
quirks,100.0,0.0,1,O
Grandpa Hryb,100.0,0.0,1,Person
volunteer,100.0,0.0,2,O
sit,100.0,0.0,1,O
easily,100.0,0.0,1,O
family.,100.0,0.0,1,O
cried,100.0,0.0,1,O
silently,100.0,0.0,1,O
loved,100.0,0.0,1,O
Behind,100.0,0.0,1,O
summit,100.0,0.0,1,O
declarations,100.0,0.0,1,O
takes,100.0,0.0,5,O
managing,100.0,0.0,2,O
hopes,100.0,0.0,3,O
fears,100.0,0.0,2,O
passed,100.0,0.0,2,O
18-month,100.0,0.0,1,Temporal
sight.,100.0,0.0,1,O
rehabilitation,100.0,0.0,1,O
Lviv,100.0,0.0,3,Location
life-changing,100.0,0.0,1,O
discussed,100.0,0.0,5,O
exchanges,100.0,0.0,4,O
badly,100.0,0.0,1,O
wounded,100.0,0.0,3,O
wives,100.0,0.0,1,O
return,100.0,0.0,5,O
injured,100.0,0.0,7,O
warns,100.0,0.0,1,O
reckoned,100.0,0.0,2,O
number,100.0,0.0,8,O
boys,100.0,0.0,2,O
limb,100.0,0.0,1,O
family,100.0,0.0,3,O
Pavlo,100.0,0.0,1,Person
patients,100.0,0.0,1,O
conversation,100.0,0.0,6,O
marriage,100.0,0.0,1,O
ruefully,100.0,0.0,1,O
She,100.0,0.0,4,O
thinks,100.0,0.0,1,O
my,100.0,0.0,13,O
minefield,100.0,0.0,1,O
Ukrainian society,100.0,0.0,1,Organisation
woken,100.0,0.0,1,O
now.,100.0,0.0,1,O
record,100.0,0.0,2,O
death,100.0,0.0,5,O
maiming,100.0,0.0,1,O
affecting,100.0,0.0,1,O
serve.,100.0,0.0,1,O
Recruitment,100.0,0.0,1,O
topic,100.0,0.0,3,O
publish,100.0,0.0,2,O
official,100.0,0.0,4,O
Yavoriv,100.0,0.0,1,Location
40s,100.0,0.0,1,O
50s.,100.0,0.0,1,O
Officers,100.0,0.0,1,O
intense,100.0,0.0,2,O
competition,100.0,0.0,7,O
younger,100.0,0.0,1,O
recruits,100.0,0.0,1,O
various,100.0,0.0,4,O
August,100.0,0.0,2,Temporal
following,100.0,0.0,12,O
sacking,100.0,0.0,1,O
supervising,100.0,0.0,1,O
call-up,100.0,0.0,2,O
bribing,100.0,0.0,1,O
smuggled,100.0,0.0,1,O
service.,100.0,0.0,1,O
willingly,100.0,0.0,1,O
jobs,100.0,0.0,4,O
attracted,100.0,0.0,1,O
comes,100.0,0.0,12,O
attempts,100.0,0.0,4,O
tables,100.0,0.0,1,O
order,100.0,0.0,15,O
liberate,100.0,0.0,1,O
lands,100.0,0.0,1,O
expectations,100.0,0.0,2,O
the Ukrainian military,100.0,0.0,1,MilitaryPlatform
the Pentagon,100.0,0.0,3,Organisation
veterans,100.0,0.0,5,O
24th Brigade.,100.0,0.0,1,MilitaryPlatform
An,100.0,0.0,4,O
breakthrough,100.0,0.0,2,O
simply,100.0,0.0,2,O
us.,100.0,0.0,1,O
long-term,100.0,0.0,1,O
brigade 's,100.0,0.0,1,MilitaryPlatform
compared,100.0,0.0,2,O
Vietnam,100.0,0.0,2,Location
implying,100.0,0.0,1,O
goes,100.0,0.0,3,O
loss.,100.0,0.0,1,O
Casualties,100.0,0.0,1,O
matter,100.0,0.0,12,O
great,100.0,0.0,12,O
sensitivity,100.0,0.0,1,O
law,100.0,0.0,15,O
"70,000",100.0,0.0,1,O
majority,100.0,0.0,5,O
military.,100.0,0.0,1,O
From,100.0,0.0,2,O
analysis,100.0,0.0,3,O
archive,100.0,0.0,1,O
conservative,100.0,0.0,3,O
estimate,100.0,0.0,1,O
400,100.0,0.0,1,O
personnel,100.0,0.0,14,O
total.,100.0,0.0,1,O
died,100.0,0.0,3,O
remainder,100.0,0.0,1,O
scores,100.0,0.0,2,O
prisoner,100.0,0.0,2,O
swaps,100.0,0.0,1,O
limited,100.0,0.0,1,O
far.,100.0,0.0,1,O
wife,100.0,0.0,5,O
22,100.0,0.0,1,O
returned,100.0,0.0,1,O
written,100.0,0.0,1,O
repatriation,100.0,0.0,1,O
prisoners,100.0,0.0,1,O
negotiated,100.0,0.0,1,O
fall,100.0,0.0,3,O
silent.,100.0,0.0,1,O
loss,100.0,0.0,2,O
outrage,100.0,0.0,1,O
harder,100.0,0.0,1,O
politicians,100.0,0.0,2,O
agree,100.0,0.0,3,O
armistice,100.0,0.0,1,O
messy,100.0,0.0,1,O
compromise,100.0,0.0,2,O
cemetery,100.0,0.0,2,O
outskirts,100.0,0.0,1,O
Natalia Nezhura,100.0,0.0,1,Person
fresh,100.0,0.0,5,O
flowers,100.0,0.0,1,O
brother,100.0,0.0,2,O
Andrii 's,100.0,0.0,2,Person
tried,100.0,0.0,1,O
stop,100.0,0.0,9,O
explained.,100.0,0.0,1,O
Natalia,100.0,0.0,2,Person
hide,100.0,0.0,1,O
papers,100.0,0.0,2,O
frontShe,100.0,0.0,1,O
breaks,100.0,0.0,1,O
feelings,100.0,0.0,1,O
this.,100.0,0.0,2,O
firearms,100.0,0.0,1,O
instructor,100.0,0.0,1,O
the Yavoriv training ground,100.0,0.0,1,Location
Andrii,100.0,0.0,1,Person
engaged,100.0,0.0,3,O
Bakhmut.,100.0,0.0,1,Location
fluttering,100.0,0.0,1,O
flags,100.0,0.0,2,O
adorn,100.0,0.0,1,O
plot,100.0,0.0,1,O
graves,100.0,0.0,1,O
pain,100.0,0.0,1,O
engender,100.0,0.0,1,O
yearning,100.0,0.0,1,O
rude,100.0,0.0,1,O
shock.,100.0,0.0,1,O
hate,100.0,0.0,1,O
soul,100.0,0.0,1,O
adding,100.0,0.0,7,O
talk,100.0,0.0,9,O
For,100.0,0.0,4,O
professional,100.0,0.0,2,O
uneasy,100.0,0.0,1,O
flare-ups,100.0,0.0,1,O
everybody,100.0,0.0,1,O
feels,100.0,0.0,1,O
attitudes,100.0,0.0,1,O
encountered,100.0,0.0,1,O
degree,100.0,0.0,2,O
society,100.0,0.0,3,O
whole,100.0,0.0,7,O
clear-cut,100.0,0.0,1,O
acceptable,100.0,0.0,1,O
pre-announced,100.0,0.0,1,O
Department of Defense deployment,100.0,0.0,1,Weapon
squadron,100.0,0.0,1,MilitaryPlatform
U.S. Air Force F-35 Lightning IIs,100.0,0.0,1,MilitaryPlatform
arrived,100.0,0.0,6,O
U.S. Central Command Area of Responsibility,100.0,0.0,1,Location
Air Forces,100.0,0.0,1,MilitaryPlatform
missions,100.0,0.0,23,O
421st Expeditionary Fighter Squadron,100.0,0.0,1,MilitaryPlatform
"Hill AFB , Utah",100.0,0.0,1,Location
defend,100.0,0.0,4,O
interests,100.0,0.0,5,O
promote,100.0,0.0,5,O
regional security,100.0,0.0,1,Location
safeguard,100.0,0.0,1,O
freedom,100.0,0.0,10,O
navigation,100.0,0.0,4,O
region.,100.0,0.0,8,O
coordination,100.0,0.0,6,O
our regional allies,100.0,0.0,1,Organisation
U.S. Navy,100.0,0.0,7,Organisation
the F-35’s,100.0,0.0,1,MilitaryPlatform
partner,100.0,0.0,19,O
A-10,100.0,0.0,5,MilitaryPlatform
F-16s,100.0,0.0,1,MilitaryPlatform
theater,100.0,0.0,6,O
helping,100.0,0.0,2,O
monitor,100.0,0.0,3,O
the Strait of Hormuz,100.0,0.0,5,Location
The F-35’s,100.0,0.0,1,MilitaryPlatform
capability,100.0,0.0,14,O
the U.S.,100.0,0.0,15,Organisation
contested airspace,100.0,0.0,1,Location
required.,100.0,0.0,1,O
demonstrates,100.0,0.0,6,O
the U.S.’s,100.0,0.0,1,Organisation
ensure,100.0,0.0,16,O
maritime support,100.0,0.0,1,MilitaryPlatform
coalition’s,100.0,0.0,2,O
enduring,100.0,0.0,2,O
mission,100.0,0.0,27,O
defeat,100.0,0.0,7,O
ISIS,100.0,0.0,19,Organisation
Syria.,100.0,0.0,3,Location
operational,100.0,0.0,13,O
host nation,100.0,0.0,1,Organisation
discuss,100.0,0.0,9,O
length,100.0,0.0,1,O
locations,100.0,0.0,4,O
The Sentinel-class,100.0,0.0,1,MilitaryPlatform
cutter,100.0,0.0,1,O
USCGC Robert Goldman,100.0,0.0,2,MilitaryPlatform
WPC 1142,100.0,0.0,2,MilitaryPlatform
Royal Bahrain Navy’s patrol craft Al Farooq,100.0,0.0,2,MilitaryPlatform
PC 43,100.0,0.0,3,MilitaryPlatform
conducted,100.0,0.0,18,O
search,100.0,0.0,5,O
rescue,100.0,0.0,5,O
SAR,100.0,0.0,2,O
exercise,100.0,0.0,52,O
Arabian Gulf,100.0,0.0,5,Location
Sept. 21,100.0,0.0,1,Temporal
The Sentinel-class fast response cutter,100.0,0.0,1,MilitaryPlatform
U.S. rigid-hull Inflatable boat,100.0,0.0,1,MilitaryPlatform
rendezvoused at sea,100.0,0.0,1,Location
variety,100.0,0.0,5,O
procedures,100.0,0.0,10,O
simulated,100.0,0.0,1,O
over-board,100.0,0.0,1,O
drill,100.0,0.0,1,O
boat,100.0,0.0,2,O
the Royal Bahrain Navy’s patrol craft Al Farooq,100.0,0.0,1,MilitaryPlatform
the U.S. naval forces,100.0,0.0,1,Organisation
interoperability,100.0,0.0,9,O
maritime,100.0,0.0,54,O
both forces,100.0,0.0,1,Organisation
exercises,100.0,0.0,8,O
symbolize,100.0,0.0,1,O
bilateral,100.0,0.0,9,O
Royal Bahrain Navy,100.0,0.0,1,Organisation
Fast,100.0,0.0,1,O
response cutters,100.0,0.0,1,MilitaryPlatform
maneuverability,100.0,0.0,1,O
capabilities,100.0,0.0,19,O
speeds,100.0,0.0,1,O
upwards,100.0,0.0,2,O
28,100.0,0.0,1,O
knots,100.0,0.0,1,O
ability,100.0,0.0,12,O
launch small boats,100.0,0.0,1,Weapon
stern,100.0,0.0,1,O
optimal,100.0,0.0,1,O
Headquartered,100.0,0.0,1,O
Manama,100.0,0.0,1,Location
Bahrain,100.0,0.0,15,Location
NAVCENT,100.0,0.0,10,Organisation
U.S. forces,100.0,0.0,30,Organisation
the Arabian Gulf,100.0,0.0,5,Location
Gulf of Oman,100.0,0.0,12,Location
Red Sea,100.0,0.0,9,Location
the Indian Ocean,100.0,0.0,4,Location
critical,100.0,0.0,18,O
choke,100.0,0.0,6,O
Suez Canal,100.0,0.0,6,Location
Bab al-Mandeb,100.0,0.0,3,Location
U.S. Naval Forces Central Command,100.0,0.0,10,Organisation
U.S. Air Forces Central ( AFCENT ),100.0,0.0,1,Organisation
joint,100.0,0.0,17,O
Air,100.0,0.0,2,O
Operation,100.0,0.0,9,O
Maritime,100.0,0.0,6,O
Surface,100.0,0.0,1,O
Warfare,100.0,0.0,1,O
AOMSW,100.0,0.0,3,O
the Gulf of Oman,100.0,0.0,2,Location
Sept. 23-24,100.0,0.0,1,Temporal
live,100.0,0.0,7,O
Surface Combat Air Patrol,100.0,0.0,1,MilitaryPlatform
employment,100.0,0.0,1,O
fires,100.0,0.0,1,O
surface,100.0,0.0,3,O
threats,100.0,0.0,20,O
improving,100.0,0.0,1,O
proficiency.,100.0,0.0,1,O
Participating,100.0,0.0,1,O
Air Force A-10 Thunderbolt II’s,100.0,0.0,1,MilitaryPlatform
AFCENT’s 75th Fighter Squadron,100.0,0.0,1,Organisation
U.S. Navy’s Arleigh Burke-class guided-missile destroyer,100.0,0.0,1,MilitaryPlatform
USS Stethem,100.0,0.0,2,MilitaryPlatform
DDG 63,100.0,0.0,1,MilitaryPlatform
marks,100.0,0.0,6,O
sixth,100.0,0.0,1,O
iteration,100.0,0.0,3,O
combined,100.0,0.0,16,O
Air Force,100.0,0.0,2,Organisation
Previous,100.0,0.0,1,O
incorporated,100.0,0.0,1,O
Air Force Two U.S. Air Force F-35A Lightning II aircraft,100.0,0.0,1,MilitaryPlatform
USS Bataan ( LHD 5 ),100.0,0.0,1,MilitaryPlatform
USS Thomas Hudner ( DDG 116 ),100.0,0.0,1,MilitaryPlatform
An A-10,100.0,0.0,1,MilitaryPlatform
30mm practice rounds,100.0,0.0,1,Weapon
practice,100.0,0.0,3,O
in July 10,100.0,0.0,1,Temporal
U.S. Navy P-8A Poseidon patrol aircraft,100.0,0.0,1,MilitaryPlatform
United States Air Force A-10 Thunderbolt II attack aircraft,100.0,0.0,1,MilitaryPlatform
&,100.0,0.0,1,O
U.S. Coast Guard cutters,100.0,0.0,2,MilitaryPlatform
embarked,100.0,0.0,3,O
U.S. Marine Corps,100.0,0.0,2,Organisation
terminal,100.0,0.0,1,O
controllers,100.0,0.0,1,O
together,100.0,0.0,35,O
April 28,100.0,0.0,1,Temporal
Guided-missile destroyer USS Paul Hamilton ( DDG 60 ),100.0,0.0,1,MilitaryPlatform
HH-60W Jolly Green II helicopter,100.0,0.0,1,MilitaryPlatform
the Gulf of Aden,100.0,0.0,1,Location
April 2,100.0,0.0,1,Temporal
the U.S. 5th Fleet,100.0,0.0,1,Organisation
the Middle East region. The U.S. 5th Fleet,100.0,0.0,1,Organisation
encompasses,100.0,0.0,3,O
2.5,100.0,0.0,5,O
ZARQA,100.0,0.0,1,Location
Jordan,84.61538461538461,15.384615384615385,13,Location
U.S. Army Central,100.0,0.0,2,Organisation
contingency,100.0,0.0,2,O
Sept. 5-8,100.0,0.0,1,Temporal
Exercise,100.0,0.0,11,O
Lucky,100.0,0.0,4,O
Strike,100.0,0.0,4,O
23.2,100.0,0.0,3,O
"Joint Training Center in Zarqa , Jordan",100.0,0.0,1,Location
Consisting,100.0,0.0,1,O
approximately,100.0,0.0,15,O
civilians,100.0,0.0,8,O
USARCENT headquarters,100.0,0.0,1,Organisation
the CCP,100.0,0.0,7,Organisation
USARCENT’s,100.0,0.0,1,Organisation
deployable,100.0,0.0,1,O
element,100.0,0.0,3,O
designed,100.0,0.0,8,O
the U.S. Central Command region,100.0,0.0,1,Location
allowed,100.0,0.0,4,O
opportunity,100.0,0.0,14,O
develop,100.0,0.0,8,O
Internal,100.0,0.0,1,O
Look,100.0,0.0,1,O
CENTCOM,100.0,0.0,10,Organisation
“The,100.0,0.0,14,O
the theater Army,100.0,0.0,1,Organisation
short,100.0,0.0,3,O
duration,100.0,0.0,1,O
”,100.0,0.0,74,O
Col. Jennifer Reed,100.0,0.0,1,Person
USARCENT G33,100.0,0.0,1,Organisation
operations.,100.0,0.0,7,O
“One,100.0,0.0,1,O
things,100.0,0.0,6,O
puts,100.0,0.0,2,O
subordinate,100.0,0.0,2,O
units.”,100.0,0.0,1,O
expeditionary,100.0,0.0,4,O
logistics,100.0,0.0,2,O
functions.,100.0,0.0,1,O
presented,100.0,0.0,2,O
unique,100.0,0.0,3,O
USARCENT,100.0,0.0,2,Organisation
staff,100.0,0.0,8,O
directorates,100.0,0.0,1,O
tested,100.0,0.0,2,O
a partner nation,100.0,0.0,2,Organisation
meticulous,100.0,0.0,1,O
planning,100.0,0.0,14,O
coordination.,100.0,0.0,1,O
Leading,100.0,0.0,1,O
Headquarters,100.0,0.0,7,O
Battalion,100.0,0.0,1,MilitaryPlatform
administrative,100.0,0.0,4,O
throughout,100.0,0.0,6,O
“The Warrior Battalion,100.0,0.0,1,MilitaryPlatform
validating,100.0,0.0,1,O
readiness,100.0,0.0,7,O
force package,100.0,0.0,1,MilitaryPlatform
Lt. Col. Andrew Eagan,100.0,0.0,1,Person
USARCENT HHBN,100.0,0.0,1,Organisation
Overall,100.0,0.0,1,O
the command,100.0,0.0,1,Organisation
pleased,100.0,0.0,1,O
performance,100.0,0.0,2,O
exercise.,100.0,0.0,4,O
Reed,100.0,0.0,1,Person
the CCP’s,100.0,0.0,1,Organisation
necessary,100.0,0.0,7,O
future,100.0,0.0,18,O
“I,100.0,0.0,9,O
it’s,100.0,0.0,5,O
Reed.,100.0,0.0,1,Person
never,100.0,0.0,4,O
field,100.0,0.0,3,O
platoon,100.0,0.0,1,MilitaryPlatform
Army,100.0,0.0,2,MilitaryPlatform
staffs,100.0,0.0,2,O
participating,100.0,0.0,9,O
ensuring,100.0,0.0,6,O
event,100.0,0.0,10,O
the USARCENT CCP,100.0,0.0,1,Organisation
2023. The CCP,100.0,0.0,1,Organisation
McCrady Training Center in August,100.0,0.0,1,Temporal
Warrior,100.0,0.0,1,O
Torch,100.0,0.0,1,O
completed,100.0,0.0,5,O
tasks,100.0,0.0,2,O
required,100.0,0.0,5,O
overseas,100.0,0.0,2,O
the U.S. Army,100.0,0.0,1,Organisation
Component,100.0,0.0,1,O
Command,100.0,0.0,3,O
U.S. Central Command,100.0,0.0,6,Organisation
responsible,100.0,0.0,5,O
Secretary of the Army,100.0,0.0,1,Person
administration,100.0,0.0,1,O
"12,000",100.0,0.0,1,O
Soldiers,100.0,0.0,3,MilitaryPlatform
assigned,100.0,0.0,1,O
joint task forces,100.0,0.0,1,MilitaryPlatform
embassies,100.0,0.0,1,O
21,100.0,0.0,4,O
Responsibility,100.0,0.0,1,O
On September 7,100.0,0.0,1,Temporal
"UK warship HMS Lancaster ( F229 ) ,",100.0,0.0,1,MilitaryPlatform
French-led,100.0,0.0,1,O
Combined Task Force ( CTF ) 150,100.0,0.0,3,Organisation
450kg,100.0,0.0,1,O
illegal,100.0,0.0,7,O
drugs,100.0,0.0,5,O
heroin,100.0,0.0,7,O
hashish,100.0,0.0,1,O
the Arabian Sea,100.0,0.0,2,Location
value,100.0,0.0,7,O
$ 9.5 million,100.0,0.0,1,Money
narcotics,100.0,0.0,3,O
seizure,100.0,0.0,6,O
the French Navy,100.0,0.0,1,Organisation
CTF 150,100.0,0.0,15,Organisation
the UK in July. The Combined Maritime Forces,100.0,0.0,1,Organisation
CMF,100.0,0.0,11,Organisation
remain,100.0,0.0,11,O
committed,100.0,0.0,12,O
disrupting,100.0,0.0,1,O
criminal,100.0,0.0,3,O
terrorist,100.0,0.0,6,O
activities,100.0,0.0,11,O
restricting,100.0,0.0,1,O
maneuver,100.0,0.0,1,O
the maritime environment,100.0,0.0,1,Location
Capt Yannick Bossu,100.0,0.0,1,Person
“This,100.0,0.0,8,O
effectiveness,100.0,0.0,2,O
illustrates,100.0,0.0,1,O
France’s,100.0,0.0,1,Location
partners.”,100.0,0.0,2,O
Cmdr Chris Sharp,100.0,0.0,1,Person
HMS Lancaster,100.0,0.0,1,MilitaryPlatform
Officer,100.0,0.0,3,O
remarked,100.0,0.0,1,O
international partners,100.0,0.0,1,Organisation
activity,100.0,0.0,8,O
activity.,100.0,0.0,1,O
shared,100.0,0.0,13,O
involved.”,100.0,0.0,1,O
38-nation,100.0,0.0,1,O
partnership,100.0,0.0,30,O
headquartered in Bahrain. CMF,100.0,0.0,1,Organisation
strategic area,100.0,0.0,1,Location
countering,100.0,0.0,5,O
finance,100.0,0.0,2,O
terrorism,100.0,0.0,3,O
crime.,100.0,0.0,2,O
twelfth,100.0,0.0,2,O
"TAMPA , Fla.",100.0,0.0,1,Location
Bright,100.0,0.0,5,O
Star,100.0,0.0,5,O
2023,100.0,0.0,9,Temporal
"Aug. 31 , 2023",100.0,0.0,1,Temporal
Mohamed Naguib Military Base,100.0,0.0,1,Location
Alexandria,100.0,0.0,1,Location
